,Age,County,Female,Male,Male_Inverse,Male_inverse,OBJECTID,shape
0,0 - 10,West,93068,95845,-95845.0,,0,9
1,10 - 20,West,65659,69211,-69211.0,,1,9
2,20 - 30,West,41993,35772,-35772.0,,2,9
3,30 - 40,West,24504,22820,-22820.0,,3,9
4,40 - 50,West,13666,13596,-13596.0,,4,9
5,50 - 60,West,8387,8270,-8270.0,,5,9
6,60 - 70,West,5236,4800,-4800.0,,6,9
7,70 - 80,West,2680,2398,-2398.0,,7,9
8,80+,West,2620,2047,-2047.0,,8,9
0,0 - 10,Wajir,101919,114418,-114418.0,,0,9
1,10 - 20,Wajir,86255,124991,-124991.0,,1,9
2,20 - 30,Wajir,40368,44268,-44268.0,,2,9
3,30 - 40,Wajir,33605,26992,-26992.0,,3,9
4,40 - 50,Wajir,19343,24068,-24068.0,,4,9
5,50 - 60,Wajir,7851,14352,-14352.0,,5,9
6,60 - 70,Wajir,4005,8116,-8116.0,,6,9
7,70 - 80,Wajir,2759,4233,-4233.0,,7,9
8,80+,Wajir,1996,2230,-2230.0,,8,9
0,0 - 10,Vihiga,84180,85648,-85648.0,,0,9
1,10 - 20,Vihiga,70511,69566,-69566.0,,1,9
2,20 - 30,Vihiga,41695,31391,-31391.0,,2,9
3,30 - 40,Vihiga,29042,22626,-22626.0,,3,9
4,40 - 50,Vihiga,22326,16921,-16921.0,,4,9
5,50 - 60,Vihiga,18678,15048,-15048.0,,5,9
6,60 - 70,Vihiga,12489,10881,-10881.0,,6,9
7,70 - 80,Vihiga,8279,7086,-7086.0,,7,9
8,80+,Vihiga,4582,3408,-3408.0,,8,9
0,0 - 10,Uasin,129614,131874,-131874.0,,0,9
1,10 - 20,Uasin,103059,101241,-101241.0,,1,9
2,20 - 30,Uasin,97189,91986,-91986.0,,2,9
3,30 - 40,Uasin,53166,57642,-57642.0,,3,9
4,40 - 50,Uasin,28332,31920,-31920.0,,4,9
5,50 - 60,Uasin,15319,16988,-16988.0,,5,9
6,60 - 70,Uasin,8634,8836,-8836.0,,6,9
7,70 - 80,Uasin,4857,4616,-4616.0,,7,9
8,80+,Uasin,4783,3553,-3553.0,,8,9
0,0 - 10,Turkana,120224,129428,-129428.0,,0,9
1,10 - 20,Turkana,118712,144037,-144037.0,,1,9
2,20 - 30,Turkana,67999,73813,-73813.0,,2,9
3,30 - 40,Turkana,45657,39215,-39215.0,,3,9
4,40 - 50,Turkana,26774,25824,-25824.0,,4,9
5,50 - 60,Turkana,15960,16103,-16103.0,,5,9
6,60 - 70,Turkana,8565,9429,-9429.0,,6,9
7,70 - 80,Turkana,3739,4241,-4241.0,,7,9
8,80+,Turkana,2530,2741,-2741.0,,8,9
0,0 - 10,Trans,135442,137718,-137718.0,,0,9
1,10 - 20,Trans,100906,102567,-102567.0,,1,9
2,20 - 30,Trans,72111,65377,-65377.0,,2,9
3,30 - 40,Trans,43133,43537,-43537.0,,3,9
4,40 - 50,Trans,26985,25661,-25661.0,,4,9
5,50 - 60,Trans,16124,16220,-16220.0,,5,9
6,60 - 70,Trans,8700,8692,-8692.0,,6,9
7,70 - 80,Trans,4884,4654,-4654.0,,7,9
8,80+,Trans,3201,2627,-2627.0,,8,9
0,0 - 10,Tharaka,19825,20195,-20195.0,,0,9
1,10 - 20,Tharaka,15468,15471,-15471.0,,1,9
2,20 - 30,Tharaka,11778,9531,-9531.0,,2,9
3,30 - 40,Tharaka,8008,7041,-7041.0,,3,9
4,40 - 50,Tharaka,4601,4156,-4156.0,,4,9
5,50 - 60,Tharaka,2966,2792,-2792.0,,5,9
6,60 - 70,Tharaka,2215,1875,-1875.0,,6,9
7,70 - 80,Tharaka,1252,1039,-1039.0,,7,9
8,80+,Tharaka,1072,750,-750.0,,8,9
0,0 - 10,Taita,36367,37180,-37180.0,,0,9
1,10 - 20,Taita,31097,32385,-32385.0,,1,9
2,20 - 30,Taita,23405,24990,-24990.0,,2,9
3,30 - 40,Taita,17028,19774,-19774.0,,3,9
4,40 - 50,Taita,11870,12850,-12850.0,,4,9
5,50 - 60,Taita,8373,8535,-8535.0,,5,9
6,60 - 70,Taita,5648,5175,-5175.0,,6,9
7,70 - 80,Taita,3349,2847,-2847.0,,7,9
8,80+,Taita,2129,1514,-1514.0,,8,9
0,0 - 10,Siaya,131471,132328,-132328.0,,0,9
1,10 - 20,Siaya,104073,107516,-107516.0,,1,9
2,20 - 30,Siaya,71578,58686,-58686.0,,2,9
3,30 - 40,Siaya,40260,35152,-35152.0,,3,9
4,40 - 50,Siaya,31568,21508,-21508.0,,4,9
5,50 - 60,Siaya,26806,17493,-17493.0,,5,9
6,60 - 70,Siaya,18813,12819,-12819.0,,6,9
7,70 - 80,Siaya,12637,8724,-8724.0,,7,9
8,80+,Siaya,6155,4159,-4159.0,,8,9
0,0 - 10,Samburu,39881,40577,-40577.0,,0,9
1,10 - 20,Samburu,27330,30522,-30522.0,,1,9
2,20 - 30,Samburu,18431,16597,-16597.0,,2,9
3,30 - 40,Samburu,11035,10113,-10113.0,,3,9
4,40 - 50,Samburu,6220,5832,-5832.0,,4,9
5,50 - 60,Samburu,3850,3565,-3565.0,,5,9
6,60 - 70,Samburu,2678,2492,-2492.0,,6,9
7,70 - 80,Samburu,1478,1433,-1433.0,,7,9
8,80+,Samburu,1017,846,-846.0,,8,9
0,0 - 10,Nyeri,76072,78981,-78981.0,,0,9
1,10 - 20,Nyeri,71707,74396,-74396.0,,1,9
2,20 - 30,Nyeri,61045,57643,-57643.0,,2,9
3,30 - 40,Nyeri,49748,46936,-46936.0,,3,9
4,40 - 50,Nyeri,37377,34177,-34177.0,,4,9
5,50 - 60,Nyeri,22123,19372,-19372.0,,5,9
6,60 - 70,Nyeri,17343,15041,-15041.0,,6,9
7,70 - 80,Nyeri,10120,8009,-8009.0,,7,9
8,80+,Nyeri,8200,5064,-5064.0,,8,9
0,0 - 10,Nyandarua,85033,88261,-88261.0,,0,9
1,10 - 20,Nyandarua,70288,74948,-74948.0,,1,9
2,20 - 30,Nyandarua,48175,42276,-42276.0,,2,9
3,30 - 40,Nyandarua,39174,33640,-33640.0,,3,9
4,40 - 50,Nyandarua,26933,23669,-23669.0,,4,9
5,50 - 60,Nyandarua,13939,12709,-12709.0,,5,9
6,60 - 70,Nyandarua,10945,8521,-8521.0,,6,9
7,70 - 80,Nyandarua,5551,5067,-5067.0,,7,9
8,80+,Nyandarua,3983,2941,-2941.0,,8,9
0,0 - 10,Nyamira,74617,75371,-75371.0,,0,9
1,10 - 20,Nyamira,60085,59924,-59924.0,,1,9
2,20 - 30,Nyamira,47721,34649,-34649.0,,2,9
3,30 - 40,Nyamira,28218,24285,-24285.0,,3,9
4,40 - 50,Nyamira,17927,17268,-17268.0,,4,9
5,50 - 60,Nyamira,11007,11446,-11446.0,,5,9
6,60 - 70,Nyamira,6224,6219,-6219.0,,6,9
7,70 - 80,Nyamira,3851,3485,-3485.0,,7,9
8,80+,Nyamira,2690,1842,-1842.0,,8,9
0,0 - 10,Narok,153446,159159,-159159.0,,0,9
1,10 - 20,Narok,98995,103618,-103618.0,,1,9
2,20 - 30,Narok,74985,68382,-68382.0,,2,9
3,30 - 40,Narok,42355,43962,-43962.0,,3,9
4,40 - 50,Narok,24346,25068,-25068.0,,4,9
5,50 - 60,Narok,12145,13649,-13649.0,,5,9
6,60 - 70,Narok,7455,7769,-7769.0,,6,9
7,70 - 80,Narok,4149,4088,-4088.0,,7,9
8,80+,Narok,3778,2943,-2943.0,,8,9
0,0 - 10,Nandi,118123,120919,-120919.0,,0,9
1,10 - 20,Nandi,90231,90922,-90922.0,,1,9
2,20 - 30,Nandi,67595,62935,-62935.0,,2,9
3,30 - 40,Nandi,40971,42747,-42747.0,,3,9
4,40 - 50,Nandi,25049,25136,-25136.0,,4,9
5,50 - 60,Nandi,15036,15823,-15823.0,,5,9
6,60 - 70,Nandi,8967,8801,-8801.0,,6,9
7,70 - 80,Nandi,5243,5125,-5125.0,,7,9
8,80+,Nandi,5121,3921,-3921.0,,8,9
0,0 - 10,Nakuru,232015,239240,-239240.0,,0,9
1,10 - 20,Nakuru,177969,182419,-182419.0,,1,9
2,20 - 30,Nakuru,165240,151640,-151640.0,,2,9
3,30 - 40,Nakuru,99803,105517,-105517.0,,3,9
4,40 - 50,Nakuru,56597,60191,-60191.0,,4,9
5,50 - 60,Nakuru,30558,32235,-32235.0,,5,9
6,60 - 70,Nakuru,18870,18073,-18073.0,,6,9
7,70 - 80,Nakuru,9702,9061,-9061.0,,7,9
8,80+,Nakuru,7699,5807,-5807.0,,8,9
0,0 - 10,Nairobi,352757,351281,-351281.0,,0,9
1,10 - 20,Nairobi,281306,235723,-235723.0,,1,9
2,20 - 30,Nairobi,494464,445685,-445685.0,,2,9
3,30 - 40,Nairobi,236679,317082,-317082.0,,3,9
4,40 - 50,Nairobi,98594,155010,-155010.0,,4,9
5,50 - 60,Nairobi,39875,65986,-65986.0,,5,9
6,60 - 70,Nairobi,15769,22419,-22419.0,,6,9
7,70 - 80,Nairobi,6759,6886,-6886.0,,7,9
8,80+,Nairobi,5175,3348,-3348.0,,8,9
0,0 - 10,Muranga,108248,111221,-111221.0,,0,9
1,10 - 20,Muranga,97920,103829,-103829.0,,1,9
2,20 - 30,Muranga,70443,64084,-64084.0,,2,9
3,30 - 40,Muranga,58149,51372,-51372.0,,3,9
4,40 - 50,Muranga,44900,37685,-37685.0,,4,9
5,50 - 60,Muranga,30782,26114,-26114.0,,5,9
6,60 - 70,Muranga,23395,20693,-20693.0,,6,9
7,70 - 80,Muranga,14122,10895,-10895.0,,7,9
8,80+,Muranga,11249,6535,-6535.0,,8,9
0,0 - 10,Mombasa,113083,114153,-114153.0,,0,9
1,10 - 20,Mombasa,88861,80755,-80755.0,,1,9
2,20 - 30,Mombasa,130033,120694,-120694.0,,2,9
3,30 - 40,Mombasa,66020,92146,-92146.0,,3,9
4,40 - 50,Mombasa,28289,45107,-45107.0,,4,9
5,50 - 60,Mombasa,13689,20868,-20868.0,,5,9
6,60 - 70,Mombasa,6685,7903,-7903.0,,6,9
7,70 - 80,Mombasa,3289,3319,-3319.0,,7,9
8,80+,Mombasa,2160,1446,-1446.0,,8,9
0,0 - 10,Migori,163161,163058,-163058.0,,0,9
1,10 - 20,Migori,115487,117375,-117375.0,,1,9
2,20 - 30,Migori,82674,69417,-69417.0,,2,9
3,30 - 40,Migori,44943,40368,-40368.0,,3,9
4,40 - 50,Migori,27661,22719,-22719.0,,4,9
5,50 - 60,Migori,18006,14964,-14964.0,,5,9
6,60 - 70,Migori,10508,8632,-8632.0,,6,9
7,70 - 80,Migori,6492,4940,-4940.0,,7,9
8,80+,Migori,3636,2624,-2624.0,,8,9
0,0 - 10,Marsabit,45168,47292,-47292.0,,0,9
1,10 - 20,Marsabit,37186,42129,-42129.0,,1,9
2,20 - 30,Marsabit,21323,22944,-22944.0,,2,9
3,30 - 40,Marsabit,13530,13738,-13738.0,,3,9
4,40 - 50,Marsabit,8854,9385,-9385.0,,4,9
5,50 - 60,Marsabit,5702,6546,-6546.0,,5,9
6,60 - 70,Marsabit,3648,4200,-4200.0,,6,9
7,70 - 80,Marsabit,2608,2886,-2886.0,,7,9
8,80+,Marsabit,1998,1938,-1938.0,,8,9
0,0 - 10,Mandera,164290,179100,-179100.0,,0,9
1,10 - 20,Mandera,141504,202143,-202143.0,,1,9
2,20 - 30,Mandera,55077,63149,-63149.0,,2,9
3,30 - 40,Mandera,53241,37665,-37665.0,,3,9
4,40 - 50,Mandera,29951,36232,-36232.0,,4,9
5,50 - 60,Mandera,11080,20849,-20849.0,,5,9
6,60 - 70,Mandera,4994,11769,-11769.0,,6,9
7,70 - 80,Mandera,3183,5791,-5791.0,,7,9
8,80+,Mandera,2385,3143,-3143.0,,8,9
0,0 - 10,Machakos,143706,147455,-147455.0,,0,9
1,10 - 20,Machakos,125232,134627,-134627.0,,1,9
2,20 - 30,Machakos,96917,91030,-91030.0,,2,9
3,30 - 40,Machakos,68993,65086,-65086.0,,3,9
4,40 - 50,Machakos,45526,41467,-41467.0,,4,9
5,50 - 60,Machakos,32385,29743,-29743.0,,5,9
6,60 - 70,Machakos,19019,16437,-16437.0,,6,9
7,70 - 80,Machakos,11724,9563,-9563.0,,7,9
8,80+,Machakos,11586,7320,-7320.0,,8,9
0,0 - 10,Laikipia,57165,58667,-58667.0,,0,9
1,10 - 20,Laikipia,45017,47182,-47182.0,,1,9
2,20 - 30,Laikipia,35400,31859,-31859.0,,2,9
3,30 - 40,Laikipia,24781,24171,-24171.0,,3,9
4,40 - 50,Laikipia,16573,16334,-16334.0,,4,9
5,50 - 60,Laikipia,9476,9115,-9115.0,,5,9
6,60 - 70,Laikipia,6358,6182,-6182.0,,6,9
7,70 - 80,Laikipia,3111,3071,-3071.0,,7,9
8,80+,Laikipia,2607,1923,-1923.0,,8,9
0,0 - 10,Kwale,109299,110280,-110280.0,,0,9
1,10 - 20,Kwale,77803,78740,-78740.0,,1,9
2,20 - 30,Kwale,58109,43194,-43194.0,,2,9
3,30 - 40,Kwale,36898,33072,-33072.0,,3,9
4,40 - 50,Kwale,20100,20612,-20612.0,,4,9
5,50 - 60,Kwale,15025,14269,-14269.0,,5,9
6,60 - 70,Kwale,8791,8561,-8561.0,,6,9
7,70 - 80,Kwale,4587,4676,-4676.0,,7,9
8,80+,Kwale,3142,2430,-2430.0,,8,9
0,0 - 10,Kisumu,147877,147594,-147594.0,,0,9
1,10 - 20,Kisumu,120100,118303,-118303.0,,1,9
2,20 - 30,Kisumu,98263,88245,-88245.0,,2,9
3,30 - 40,Kisumu,48126,51663,-51663.0,,3,9
4,40 - 50,Kisumu,32192,28506,-28506.0,,4,9
5,50 - 60,Kisumu,21679,19969,-19969.0,,5,9
6,60 - 70,Kisumu,12999,11217,-11217.0,,6,9
7,70 - 80,Kisumu,8113,6169,-6169.0,,7,9
8,80+,Kisumu,4615,2821,-2821.0,,8,9
0,0 - 10,Kirinyaga,59232,59966,-59966.0,,0,9
1,10 - 20,Kirinyaga,49723,51413,-51413.0,,1,9
2,20 - 30,Kirinyaga,52353,48289,-48289.0,,2,9
3,30 - 40,Kirinyaga,40720,40851,-40851.0,,3,9
4,40 - 50,Kirinyaga,27310,27703,-27703.0,,4,9
5,50 - 60,Kirinyaga,15345,15164,-15164.0,,5,9
6,60 - 70,Kirinyaga,10103,8866,-8866.0,,6,9
7,70 - 80,Kirinyaga,6292,4834,-4834.0,,7,9
8,80+,Kirinyaga,6266,3450,-3450.0,,8,9
0,0 - 10,Kiambu,201383,203364,-203364.0,,0,9
1,10 - 20,Kiambu,167891,161726,-161726.0,,1,9
2,20 - 30,Kiambu,191610,170215,-170215.0,,2,9
3,30 - 40,Kiambu,125333,133602,-133602.0,,3,9
4,40 - 50,Kiambu,72516,78706,-78706.0,,4,9
5,50 - 60,Kiambu,38033,40566,-40566.0,,5,9
6,60 - 70,Kiambu,24267,22281,-22281.0,,6,9
7,70 - 80,Kiambu,13633,10654,-10654.0,,7,9
8,80+,Kiambu,10918,6130,-6130.0,,8,9
0,0 - 10,Isiolo,21573,22891,-22891.0,,0,9
1,10 - 20,Isiolo,16953,17909,-17909.0,,1,9
2,20 - 30,Isiolo,12609,12469,-12469.0,,2,9
3,30 - 40,Isiolo,7119,7666,-7666.0,,3,9
4,40 - 50,Isiolo,4702,5267,-5267.0,,4,9
5,50 - 60,Isiolo,2866,3601,-3601.0,,5,9
6,60 - 70,Isiolo,1703,1945,-1945.0,,6,9
7,70 - 80,Isiolo,1134,1188,-1188.0,,7,9
8,80+,Isiolo,914,702,-702.0,,8,9
0,0 - 10,Garissa,92557,105304,-105304.0,,0,9
1,10 - 20,Garissa,78072,103172,-103172.0,,1,9
2,20 - 30,Garissa,49103,50200,-50200.0,,2,9
3,30 - 40,Garissa,32624,28408,-28408.0,,3,9
4,40 - 50,Garissa,17955,21881,-21881.0,,4,9
5,50 - 60,Garissa,7964,12559,-12559.0,,5,9
6,60 - 70,Garissa,4543,7019,-7019.0,,6,9
7,70 - 80,Garissa,2730,3720,-3720.0,,7,9
8,80+,Garissa,2420,2472,-2472.0,,8,9
0,0,Embu,6658,6931,-6931.0,,0,81
1,1,Embu,4773,4962,-4962.0,,1,81
2,2,Embu,6443,6507,-6507.0,,2,81
3,3,Embu,6189,6076,-6076.0,,3,81
4,4,Embu,6207,6251,-6251.0,,4,81
5,5,Embu,5950,6204,-6204.0,,5,81
6,6,Embu,5870,6009,-6009.0,,6,81
7,7,Embu,5450,5651,-5651.0,,7,81
8,8,Embu,5851,5656,-5656.0,,8,81
9,9,Embu,5493,5627,-5627.0,,9,81
10,10,Embu,6102,6321,-6321.0,,10,81
11,11,Embu,4578,4452,-4452.0,,11,81
12,12,Embu,5735,5872,-5872.0,,12,81
13,13,Embu,4925,4901,-4901.0,,13,81
14,14,Embu,4942,5097,-5097.0,,14,81
15,15,Embu,4704,4786,-4786.0,,15,81
16,16,Embu,4594,4499,-4499.0,,16,81
17,17,Embu,3995,4098,-4098.0,,17,81
18,18,Embu,3945,4294,-4294.0,,18,81
19,19,Embu,3150,3403,-3403.0,,19,81
20,20,Embu,4468,4130,-4130.0,,20,81
21,21,Embu,2779,2712,-2712.0,,21,81
