Age,Female,Male,Male_Inverse,OBJECTID
0,14901,15908,-15908,0
1,13008,13742,-13742,1
2,14480,15286,-15286,2
3,14732,15039,-15039,3
4,14876,15388,-15388,4
5,14753,15424,-15424,5
6,14343,14674,-14674,6
7,13420,14011,-14011,7
8,13421,13462,-13462,8
9,14177,14346,-14346,9
10,13263,13611,-13611,10
11,10934,10854,-10854,11
12,13132,13066,-13066,12
13,12488,12005,-12005,13
14,11381,11389,-11389,14
15,10850,11013,-11013,15
16,10456,10392,-10392,16
17,10165,10506,-10506,17
18,9852,10230,-10230,18
19,9203,8845,-8845,19
20,12338,9783,-9783,20
21,8683,7524,-7524,21
22,10124,8178,-8178,22
23,9166,7557,-7557,23
24,8460,7141,-7141,24
25,10001,8617,-8617,25
26,6445,6221,-6221,26
27,6706,6933,-6933,27
28,5619,5350,-5350,28
29,5344,5629,-5629,29
30,7880,7579,-7579,30
31,4925,5570,-5570,31
32,4950,5159,-5159,32
33,3881,4260,-4260,33
34,4075,4186,-4186,34
35,6331,7092,-7092,35
36,3700,3876,-3876,36
37,4254,4281,-4281,37
38,3009,2903,-2903,38
39,3354,3395,-3395,39
40,4840,4523,-4523,40
41,2771,3039,-3039,41
42,2213,2405,-2405,42
43,1840,1889,-1889,43
44,1975,1912,-1912,44
45,3115,2875,-2875,45
46,2222,2089,-2089,46
47,2462,2361,-2361,47
48,4105,3375,-3375,48
49,2027,2396,-2396,49
50,3158,2931,-2931,50
51,1747,2021,-2021,51
52,1689,1801,-1801,52
53,1512,1692,-1692,53
54,1394,1320,-1320,54
55,1998,2119,-2119,55
56,1125,1314,-1314,56
57,1755,1974,-1974,57
58,920,837,-837,58
59,1286,1214,-1214,59
60,2138,1778,-1778,60
61,1132,1517,-1517,61
62,738,883,-883,62
63,831,899,-899,63
64,1049,842,-842,64
65,1137,931,-931,65
66,524,508,-508,66
67,787,859,-859,67
68,550,484,-484,68
69,972,612,-612,69
70,1494,1058,-1058,70
71,573,424,-424,71
72,474,486,-486,72
73,427,467,-467,73
74,603,507,-507,74
75,754,495,-495,75
76,371,378,-378,76
77,379,393,-393,77
78,437,370,-370,78
79,776,453,-453,79
80+,5415,3739,-3739,80
