Age,Female,Male,Male_Inverse,OBJECTID
0,25199,25659,-25659,0
1,23266,23482,-23482,1
2,25729,25797,-25797,2
3,25725,25500,-25500,3
4,24027,24317,-24317,4
5,24646,24832,-24832,5
6,23343,22996,-22996,6
7,22205,22080,-22080,7
8,21455,20979,-20979,8
9,21804,21825,-21825,9
10,21315,21604,-21604,10
11,17807,17776,-17776,11
12,19849,19831,-19831,12
13,18953,18983,-18983,13
14,17106,17165,-17165,14
15,17099,16915,-16915,15
16,15646,15663,-15663,16
17,16652,17164,-17164,17
18,14849,15070,-15070,18
19,14294,14134,-14134,19
20,15452,13438,-13438,20
21,12885,11776,-11776,21
22,13924,11768,-11768,22
23,12652,10966,-10966,23
24,11254,9721,-9721,24
25,12649,10863,-10863,25
26,9834,8505,-8505,26
27,9862,8864,-8864,27
28,8481,7144,-7144,28
29,8217,7678,-7678,29
30,10226,8587,-8587,30
31,7424,6910,-6910,31
32,8385,7472,-7472,32
33,7002,6419,-6419,33
34,6395,5712,-5712,34
35,8663,8149,-8149,35
36,5937,5561,-5561,36
37,5894,5756,-5756,37
38,5173,4626,-4626,38
39,5022,4829,-4829,39
40,6850,5893,-5893,40
41,4402,4401,-4401,41
42,4578,4069,-4069,42
43,4305,3715,-3715,43
44,3745,3353,-3353,44
45,5533,4793,-4793,45
46,4096,3764,-3764,46
47,4411,3899,-3899,47
48,3591,3215,-3215,48
49,4317,4265,-4265,49
50,4101,3771,-3771,50
51,3428,3048,-3048,51
52,3059,2812,-2812,52
53,3256,2863,-2863,53
54,2705,2537,-2537,54
55,3455,2958,-2958,55
56,2460,2126,-2126,56
57,2885,2564,-2564,57
58,1625,1461,-1461,58
59,2228,2130,-2130,59
60,2214,1965,-1965,60
61,2163,1796,-1796,61
62,1620,1420,-1420,62
63,1815,1684,-1684,63
64,1531,1397,-1397,64
65,1720,1542,-1542,65
66,1258,1052,-1052,66
67,1983,1481,-1481,67
68,942,944,-944,68
69,1102,932,-932,69
70,1671,1360,-1360,70
71,907,835,-835,71
72,1031,871,-871,72
73,1310,1110,-1110,73
74,706,675,-675,74
75,972,941,-941,75
76,770,542,-542,76
77,1107,896,-896,77
78,513,519,-519,78
79,905,704,-704,79
80+,5685,4403,-4403,80
