Age,Female,Male,Male_Inverse,OBJECTID
0,13705,13568,-13568,0
1,12390,12320,-12320,1
2,13621,13654,-13654,2
3,13392,13291,-13291,3
4,12852,12980,-12980,4
5,12917,12898,-12898,5
6,12129,12118,-12118,6
7,11708,11518,-11518,7
8,11211,10772,-10772,8
9,11502,11313,-11313,9
10,12257,12102,-12102,10
11,9429,9114,-9114,11
12,11498,11497,-11497,12
13,10457,10373,-10373,13
14,9675,9838,-9838,14
15,9601,9589,-9589,15
16,8734,8816,-8816,16
17,8648,9350,-9350,17
18,8281,8450,-8450,18
19,7516,6926,-6926,19
20,9597,7620,-7620,20
21,6501,5450,-5450,21
22,7920,6155,-6155,22
23,6809,5496,-5496,23
24,6239,4956,-4956,24
25,7106,5681,-5681,25
26,5247,4297,-4297,26
27,5174,4520,-4520,27
28,4747,3845,-3845,28
29,4183,3752,-3752,29
30,6436,5007,-5007,30
31,3561,3175,-3175,31
32,4463,3945,-3945,32
33,3247,2909,-2909,33
34,3293,3031,-3031,34
35,5134,4312,-4312,35
36,2881,2567,-2567,36
37,2961,2567,-2567,37
38,2907,2228,-2228,38
39,2677,2237,-2237,39
40,4859,3454,-3454,40
41,2316,2061,-2061,41
42,2399,2032,-2032,42
43,2114,1662,-1662,43
44,1936,1630,-1630,44
45,3278,2582,-2582,45
46,2265,1844,-1844,46
47,2528,1964,-1964,47
48,2090,1607,-1607,48
49,2134,1837,-1837,49
50,3357,2316,-2316,50
51,1759,1493,-1493,51
52,1723,1464,-1464,52
53,1594,1237,-1237,53
54,1622,1277,-1277,54
55,1997,1546,-1546,55
56,1411,1187,-1187,56
57,1733,1505,-1505,57
58,908,795,-795,58
59,1421,1105,-1105,59
60,2262,1567,-1567,60
61,1210,1014,-1014,61
62,840,829,-829,62
63,882,819,-819,63
64,1104,830,-830,64
65,1194,948,-948,65
66,588,544,-544,66
67,1183,966,-966,67
68,598,510,-510,68
69,1026,680,-680,69
70,1491,926,-926,70
71,663,600,-600,71
72,646,554,-554,72
73,584,618,-618,73
74,655,503,-503,74
75,715,528,-528,75
76,581,517,-517,76
77,626,582,-582,77
78,429,355,-355,78
79,752,445,-445,79
80+,3579,2764,-2764,80
